"Category","Skill","Directory","Source","Description"
"开发者工具、代码与 DevOps","sourcegraph-automation","sourcegraph-automation","用户安装","Automate Sourcegraph tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","statuscake-automation","statuscake-automation","用户安装","Automate Statuscake tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","turbot-pipes-automation","turbot-pipes-automation","用户安装","Automate Turbot Pipes tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","turso-automation","turso-automation","用户安装","Automate Turso tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","uptimerobot-automation","uptimerobot-automation","用户安装","Automate Uptimerobot tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","v0-automation","v0-automation","用户安装","Automate V0 tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","wakatime-automation","wakatime-automation","用户安装","Automate Wakatime tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","-2chat-automation","-2chat-automation","用户安装","Automate 2chat tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","agencyzoom-automation","agencyzoom-automation","用户安装","Automate Agencyzoom tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","agent-mail-automation","agent-mail-automation","用户安装","Automate Agent Mail tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","cal-automation","cal-automation","用户安装","Automate Cal tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","calendarhero-automation","calendarhero-automation","用户安装","Automate Calendarhero tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","callingly-automation","callingly-automation","用户安装","Automate Callingly tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","callpage-automation","callpage-automation","用户安装","Automate Callpage tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","chatwork-automation","chatwork-automation","用户安装","Automate Chatwork tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","chmeetings-automation","chmeetings-automation","用户安装","Automate Chmeetings tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","clickmeeting-automation","clickmeeting-automation","用户安装","Automate Clickmeeting tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","coinmarketcal-automation","coinmarketcal-automation","用户安装","Automate Coinmarketcal tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","connect","connect","用户安装","Connect Codex to any app via the Composio CLI. Send emails, create issues, post messages, update databases - take real actions across Gmail, Slack, GitHub, Notion, and 1000+ services from the terminal."
"客服、沟通与会议","demio-automation","demio-automation","用户安装","Automate Demio tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","developer-growth-analysis","developer-growth-analysis","用户安装","Analyzes your recent Codex chat history to identify coding patterns, development gaps, and areas for improvement, curates relevant learning resources from HackerNews, and automatically sends a personalized growth report to your Slack DMs."
"客服、沟通与会议","dialpad-automation","dialpad-automation","用户安装","Automate Dialpad tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","discordbot-automation","discordbot-automation","用户安装","Automate Discordbot tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","evenium-automation","evenium-automation","用户安装","Automate Evenium tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","Eventbrite Automation","eventbrite-automation","用户安装","Automate Eventbrite event management, attendee tracking, organization discovery, and category browsing through natural language commands"
"客服、沟通与会议","eventee-automation","eventee-automation","用户安装","Automate Eventee tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","eventzilla-automation","eventzilla-automation","用户安装","Automate Eventzilla tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","front-automation","front-automation","用户安装","Automate Front tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","googlecalendar-automation","googlecalendar-automation","用户安装","Automate Google Calendar tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","googlemeet-automation","googlemeet-automation","用户安装","Automate Google Meet tasks via Rube MCP (Composio): create Meet spaces, schedule video conferences via Calendar events, manage meeting access. Always search tools first for current schemas."
"客服、沟通与会议","Gorgias Automation","gorgias-automation","用户安装","Automate e-commerce customer support workflows in Gorgias -- manage tickets, customers, tags, and teams through natural language commands."
"客服、沟通与会议","go-to-webinar-automation","go-to-webinar-automation","用户安装","Automate GoToWebinar tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","helpwise-automation","helpwise-automation","用户安装","Automate Helpwise tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","humanitix-automation","humanitix-automation","用户安装","Automate Humanitix tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","internal-comms","internal-comms","用户安装","A set of resources to help me write all kinds of internal communications, using the formats that my company likes to use. Claude should use this skill whenever asked to write some sort of internal communications (status reports, leadership updates, 3P updates, company newsletters, FAQs, incident reports, project updates, etc.)."
"客服、沟通与会议","linear","linear","用户安装","Manage issues, projects & team workflows in Linear. Use when the user wants to read, create or updates tickets in Linear."
"客服、沟通与会议","meeting-insights-analyzer","meeting-insights-analyzer","用户安装","Analyzes meeting transcripts and recordings to uncover behavioral patterns, communication insights, and actionable feedback. Identifies when you avoid conflict, use filler words, dominate conversations, or miss opportunities to listen. Perfect for professionals seeking to improve their communication and leadership skills."
"客服、沟通与会议","meeting-notes-and-actions","meeting-notes-and-actions","用户安装","Turn meeting transcripts or rough notes into crisp summaries with decisions, risks, and owner-tagged action items; use for Zoom/Meet/Teams transcripts, call notes, or long meeting chats to generate share-ready outputs."
"客服、沟通与会议","missive-automation","missive-automation","用户安装","Automate Missive tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","mocean-automation","mocean-automation","用户安装","Automate Mocean tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","msg91-automation","msg91-automation","用户安装","Automate Msg91 tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","notion-meeting-intelligence","notion-meeting-intelligence","用户安装","Prepare meeting materials with Notion context and Codex research; use when gathering context, drafting agendas/pre-reads, and tailoring materials to attendees."
"客服、沟通与会议","oncehub-automation","oncehub-automation","用户安装","Automate Oncehub tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","pushbullet-automation","pushbullet-automation","用户安装","Automate Pushbullet tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","pushover-automation","pushover-automation","用户安装","Automate Pushover tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","re-amaze-automation","re-amaze-automation","用户安装","Automate Re Amaze tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","respond-io-automation","respond-io-automation","用户安装","Automate Respond IO tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","ring_central-automation","ring_central-automation","用户安装","Automate RingCentral tasks via Rube MCP (Composio): calls, messages, meetings, and unified communications. Always search tools first for current schemas."
"客服、沟通与会议","RingCentral Automation","ring-central-automation","用户安装","RingCentral automation via Rube MCP -- toolkit not currently available in Composio; no RING_CENTRAL_ tools found"
"客服、沟通与会议","slackbot-automation","slackbot-automation","用户安装","Automate Slackbot tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","slack-gif-creator","slack-gif-creator","用户安装","Toolkit for creating animated GIFs optimized for Slack, with validators for size constraints and composable animation primitives. This skill applies when users request animated GIFs or emoji animations for Slack from descriptions like ""make me a GIF for Slack of X doing Y""."
"客服、沟通与会议","sms-alert-automation","sms-alert-automation","用户安装","Automate SMS Alert tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","smtp2go-automation","smtp2go-automation","用户安装","Automate Smtp2go tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","spoki-automation","spoki-automation","用户安装","Automate Spoki tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","superchat-automation","superchat-automation","用户安装","Automate Superchat tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","supportbee-automation","supportbee-automation","用户安装","Automate Supportbee tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","supportivekoala-automation","supportivekoala-automation","用户安装","Automate Supportivekoala tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","support-ticket-triage","support-ticket-triage","用户安装","Triage customer support tickets/emails/chats into categories, priority, and next action; draft responses and create reproducible steps; use for Zendesk/Intercom/Help Scout exports or pasted threads."
"客服、沟通与会议","telnyx-automation","telnyx-automation","用户安装","Automate Telnyx tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","teltel-automation","teltel-automation","用户安装","Automate Teltel tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","ticketmaster-automation","ticketmaster-automation","用户安装","Automate Ticketmaster tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","timelinesai-automation","timelinesai-automation","用户安装","Automate Timelinesai tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","unione-automation","unione-automation","用户安装","Automate Unione tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","waboxapp-automation","waboxapp-automation","用户安装","Automate Waboxapp tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","wati-automation","wati-automation","用户安装","Automate Wati tasks via Rube MCP (Composio). Always search tools first for current schemas."
"客服、沟通与会议","webapp-testing","webapp-testing","用户安装","Toolkit for interacting with and testing local web applications using Playwright. Supports verifying frontend functionality, debugging UI behavior, capturing browser screenshots, and viewing browser logs."
"客服、沟通与会议","Webex Automation","webex-automation","用户安装","Automate Cisco Webex messaging, rooms, teams, webhooks, and people management through natural language commands"
"客服、沟通与会议","youtube-downloader","video-downloader","用户安装","Download YouTube videos with customizable quality and format options. Use this skill when the user asks to download, save, or grab YouTube videos. Supports various quality settings (best, 1080p, 720p, 480p, 360p), multiple formats (mp4, webm, mkv), and audio-only downloads as MP3."
"客服、沟通与会议","Zoho Books Automation","zoho-books-automation","用户安装","Automate Zoho Books accounting workflows including invoice creation, bill management, contact lookup, payment tracking, and multi-organization support through natural language commands"
"客服、沟通与会议","Zoho Desk Automation","zoho-desk-automation","用户安装","Zoho Desk automation via Rube MCP -- toolkit not currently available in Composio; no ZOHO_DESK_ tools found"
"客服、沟通与会议","zoho_desk-automation","zoho_desk-automation","用户安装","Automate Zoho Desk tasks via Rube MCP (Composio): tickets, contacts, agents, departments, and help desk operations. Always search tools first for current schemas."
"客服、沟通与会议","zoominfo-automation","zoominfo-automation","用户安装","Automate Zoominfo tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","-21risk-automation","-21risk-automation","用户安装","Automate 21risk tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","ably-automation","ably-automation","用户安装","Automate Ably tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","abuselpdb-automation","abuselpdb-automation","用户安装","Automate Abuselpdb tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","acculynx-automation","acculynx-automation","用户安装","Automate Acculynx tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","adobe-automation","adobe-automation","用户安装","Automate Adobe tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","adyntel-automation","adyntel-automation","用户安装","Automate Adyntel tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","aeroleads-automation","aeroleads-automation","用户安装","Automate Aeroleads tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","agentql-automation","agentql-automation","用户安装","Automate Agentql tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","agiled-automation","agiled-automation","用户安装","Automate Agiled tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","alchemy-automation","alchemy-automation","用户安装","Automate Alchemy tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","algolia-automation","algolia-automation","用户安装","Automate Algolia tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","amara-automation","amara-automation","用户安装","Automate Amara tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","amcards-automation","amcards-automation","用户安装","Automate Amcards tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","anonyflow-automation","anonyflow-automation","用户安装","Automate Anonyflow tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","apaleo-automation","apaleo-automation","用户安装","Automate Apaleo tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","apex27-automation","apex27-automation","用户安装","Automate Apex27 tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","apiflash-automation","apiflash-automation","用户安装","Automate Apiflash tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","api-labz-automation","api-labz-automation","用户安装","Automate API Labz tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","apilio-automation","apilio-automation","用户安装","Automate Apilio tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","apipie-ai-automation","apipie-ai-automation","用户安装","Automate Apipie AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","apiverve-automation","apiverve-automation","用户安装","Automate Apiverve tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","appdrag-automation","appdrag-automation","用户安装","Automate Appdrag tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","appsflyer-automation","appsflyer-automation","用户安装","Automate Appsflyer tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","aryn-automation","aryn-automation","用户安装","Automate Aryn tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","ascora-automation","ascora-automation","用户安装","Automate Ascora tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","asin-data-api-automation","asin-data-api-automation","用户安装","Automate Asin Data API tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","autom-automation","autom-automation","用户安装","Automate Autom tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","axonaut-automation","axonaut-automation","用户安装","Automate Axonaut tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","ayrshare-automation","ayrshare-automation","用户安装","Automate Ayrshare tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","baserow-automation","baserow-automation","用户安装","Automate Baserow tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","basin-automation","basin-automation","用户安装","Automate Basin tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","bench-automation","bench-automation","用户安装","Automate Bench tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","benzinga-automation","benzinga-automation","用户安装","Automate Benzinga tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","bidsketch-automation","bidsketch-automation","用户安装","Automate Bidsketch tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","big-data-cloud-automation","big-data-cloud-automation","用户安装","Automate Big Data Cloud tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","bigml-automation","bigml-automation","用户安装","Automate Bigml tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","blackbaud-automation","blackbaud-automation","用户安装","Automate Blackbaud tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","blocknative-automation","blocknative-automation","用户安装","Automate Blocknative tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","bonsai-automation","bonsai-automation","用户安装","Automate Bonsai tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","borneo-automation","borneo-automation","用户安装","Automate Borneo tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","botbaba-automation","botbaba-automation","用户安装","Automate Botbaba tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","botstar-automation","botstar-automation","用户安装","Automate Botstar tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","bouncer-automation","bouncer-automation","用户安装","Automate Bouncer tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","breeze-automation","breeze-automation","用户安装","Automate Breeze tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","brightpearl-automation","brightpearl-automation","用户安装","Automate Brightpearl tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","brilliant-directories-automation","brilliant-directories-automation","用户安装","Automate Brilliant Directories tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","browserhub-automation","browserhub-automation","用户安装","Automate Browserhub tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","bunnycdn-automation","bunnycdn-automation","用户安装","Automate Bunnycdn tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","cardly-automation","cardly-automation","用户安装","Automate Cardly tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","castingwords-automation","castingwords-automation","用户安装","Automate Castingwords tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","chaser-automation","chaser-automation","用户安装","Automate Chaser tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","cloudlayer-automation","cloudlayer-automation","用户安装","Automate Cloudlayer tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","cloudpress-automation","cloudpress-automation","用户安装","Automate Cloudpress tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","codereadr-automation","codereadr-automation","用户安装","Automate Codereadr tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","composio-automation","composio-automation","用户安装","Automate Composio tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","composio-search-automation","composio-search-automation","用户安装","Automate Composio Search tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","connecteam-automation","connecteam-automation","用户安装","Automate Connecteam tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","conveyor-automation","conveyor-automation","用户安装","Automate Conveyor tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","convolo-ai-automation","convolo-ai-automation","用户安装","Automate Convolo AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","corrently-automation","corrently-automation","用户安装","Automate Corrently tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","countdown-api-automation","countdown-api-automation","用户安装","Automate Countdown API tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","create-plan","create-plan","用户安装","Create a concise plan. Use when a user explicitly asks for a plan related to a coding task."
"其他通用 SaaS/API","crowdin-automation","crowdin-automation","用户安装","Automate Crowdin tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","crustdata-automation","crustdata-automation","用户安装","Automate Crustdata tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","customjs-automation","customjs-automation","用户安装","Automate Customjs tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","cutt-ly-automation","cutt-ly-automation","用户安装","Automate Cutt Ly tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","dadata-ru-automation","dadata-ru-automation","用户安装","Automate Dadata Ru tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","daffy-automation","daffy-automation","用户安装","Automate Daffy tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","dailybot-automation","dailybot-automation","用户安装","Automate Dailybot tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","datarobot-automation","datarobot-automation","用户安装","Automate Datarobot tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","deadline-funnel-automation","deadline-funnel-automation","用户安装","Automate Deadline Funnel tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","detrack-automation","detrack-automation","用户安装","Automate Detrack tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","dialmycalls-automation","dialmycalls-automation","用户安装","Automate Dialmycalls tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","dnsfilter-automation","dnsfilter-automation","用户安装","Automate Dnsfilter tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","dock-certs-automation","dock-certs-automation","用户安装","Automate Dock Certs tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","dotsimple-automation","dotsimple-automation","用户安装","Automate Dotsimple tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","dpd2-automation","dpd2-automation","用户安装","Automate Dpd2 tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","echtpost-automation","echtpost-automation","用户安装","Automate Echtpost tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","email-draft-polish","email-draft-polish","用户安装","Draft, rewrite, or condense emails with target tone, length, and audience; use for cold outreach, replies, status updates, or escalations where clarity and brevity matter."
"其他通用 SaaS/API","endorsal-automation","endorsal-automation","用户安装","Automate Endorsal tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","enigma-automation","enigma-automation","用户安装","Automate Enigma tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","entelligence-automation","entelligence-automation","用户安装","Automate Entelligence tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","esputnik-automation","esputnik-automation","用户安装","Automate Esputnik tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","etermin-automation","etermin-automation","用户安装","Automate Etermin tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","exist-automation","exist-automation","用户安装","Automate Exist tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","faceup-automation","faceup-automation","用户安装","Automate Faceup tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","fidel-api-automation","fidel-api-automation","用户安装","Automate Fidel API tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","fingertip-automation","fingertip-automation","用户安装","Automate Fingertip tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","finmei-automation","finmei-automation","用户安装","Automate Finmei tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","fireberry-automation","fireberry-automation","用户安装","Automate Fireberry tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","firmao-automation","firmao-automation","用户安装","Automate Firmao tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","fixer-automation","fixer-automation","用户安装","Automate Fixer tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","fixer-io-automation","fixer-io-automation","用户安装","Automate Fixer IO tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","fluxguard-automation","fluxguard-automation","用户安装","Automate Fluxguard tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","forcemanager-automation","forcemanager-automation","用户安装","Automate Forcemanager tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","fraudlabs-pro-automation","fraudlabs-pro-automation","用户安装","Automate Fraudlabs Pro tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","gagelist-automation","gagelist-automation","用户安装","Automate Gagelist tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","gatherup-automation","gatherup-automation","用户安装","Automate Gatherup tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","gift-up-automation","gift-up-automation","用户安装","Automate Gift Up tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","gist-automation","gist-automation","用户安装","Automate Gist tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","gleap-automation","gleap-automation","用户安装","Automate Gleap tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","godial-automation","godial-automation","用户安装","Automate Godial tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","goody-automation","goody-automation","用户安装","Automate Goody tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","google-cloud-vision-automation","google-cloud-vision-automation","用户安装","Automate Google Cloud Vision tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","googlesuper-automation","googlesuper-automation","用户安装","Automate Google Super tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","gosquared-automation","gosquared-automation","用户安装","Automate Gosquared tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","helcim-automation","helcim-automation","用户安装","Automate Helcim tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","helloleads-automation","helloleads-automation","用户安装","Automate Helloleads tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","heyreach-automation","heyreach-automation","用户安装","Automate Heyreach tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","highergov-automation","highergov-automation","用户安装","Automate Highergov tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","hotspotsystem-automation","hotspotsystem-automation","用户安装","Automate Hotspotsystem tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","hyperise-automation","hyperise-automation","用户安装","Automate Hyperise tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","idea-scale-automation","idea-scale-automation","用户安装","Automate Idea Scale tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","insighto-ai-automation","insighto-ai-automation","用户安装","Automate Insighto AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","intelliprint-automation","intelliprint-automation","用户安装","Automate Intelliprint tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","interzoid-automation","interzoid-automation","用户安装","Automate Interzoid tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","keap-automation","keap-automation","用户安装","Automate Keap tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","keen-io-automation","keen-io-automation","用户安装","Automate Keen IO tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","klipfolio-automation","klipfolio-automation","用户安装","Automate Klipfolio tasks via Rube MCP (Composio). Always search tools first for current schemas."
"其他通用 SaaS/API","ko-fi-automation","ko-fi-automation","用户安装","Automate Ko Fi tasks via Rube MCP (Composio). Always search tools first for current schemas."
